anime_id,estudio_id
16498,858
16498,10
101922,43
113415,569
1535,11
1535,196
21459,4
11061,11
11061,6460
21087,11
21,18
21,416
21,207
21,68
21,6291
21,406
20605,1
20958,858
20958,10
5114,4
20,1
11757,561
20954,2
21519,291
99147,858
99147,10
21856,4
110277,569
110277,10
101759,6222
127230,569
20755,456
21507,4
21355,314
20665,561
104578,858
104578,10
1735,1
21234,561
100166,4
9253,314
20464,10
97940,1
101291,6222
140960,6222
140960,858
101921,561
105333,73
21827,2
101348,858
101348,10
4224,7
19815,11
20447,4
20613,314
124080,6222
104276,4
20789,561
21202,37
269,1
112151,43
20623,11
99423,803
99423,6222
99423,561
1575,14
30,6
30,103
145064,569
105310,287
142329,43
199,21
199,101
14719,287
154587,11
20931,11
97668,7
1,14
9919,561
9919,765
101280,4418
101280,6116
99263,290
98314,569
108465,6309
108465,6127
20594,561
101338,4
98659,456
120120,839
6547,132
151807,561
131681,569
131681,10
112641,561
131573,569
20997,132
10620,163
10620,765
132405,6222
21311,4
18679,803
117193,4
20850,1
97986,290
20923,7
20832,11
20992,10
20920,7
15809,314
9989,561
3588,4
3588,325
11111,132
120377,803
171018,6145
14813,112
6702,41
6702,561
6702,765
2001,6
108632,314
21699,37
101347,569
101347,200
145139,43
21170,456
431,21
21698,10
2904,14
129874,43
128893,569
21804,7
21804,6127
13601,10
106286,291
14741,2
14741,929
98460,6145
12189,2
12189,929
10087,43
20474,287
5081,44
19,11
115230,94
113936,73
21776,2
142838,858
142838,6222
20829,858
99578,561
150672,95
9756,44
137822,4418
108725,6222
127720,6309
127720,6127
116589,561
103572,200
161645,28
161645,7368
133965,28
108511,4418
114535,112
21450,287
11617,120
21128,4
130298,852
105334,73
100388,569
113813,73
100240,1
119661,314
176496,561
101165,314
164,21
114236,287
102883,287
2167,929
2167,2
116006,569
918,14
6746,112
106625,10
125367,561
20799,287
20661,569
100182,561
7054,7
151801,561
99539,561
8074,11
11771,10
124845,6222
18153,2
141391,839
523,21
523,24
153288,10
153288,47
205,32
5680,2
5680,929
13759,7
21613,6148
20698,91
226,38
226,171
166240,43
136430,569
116742,4418
139630,4
18897,44
120697,94
112301,300
98437,11
121,4
17895,7
19603,43
130003,6222
140439,4
14227,112
21518,7
4898,561
145545,456
145545,101
146065,6309
146065,6127
104157,6222
20458,11
21049,73
107660,6077
20872,95
813,18
853,4
853,70
113538,10
172463,569
32,6
32,10
32,18
339,110
178025,4
178025,7585
889,11
1689,291
6880,32
6045,10
146984,569
146984,10
16782,291
20807,7
15583,292
101474,11
98436,858
98436,10
116267,35
111321,290
20596,10
21092,300
21092,852
437,11
101167,7
101167,6127
21857,300
11741,43
102976,7
10793,10
10165,2
10165,929
159831,7348
159831,44
21679,4
108463,456
100876,569
17265,41
102351,1
158927,858
158927,6222
21647,73
21647,94
124153,4
100922,6117
223,18
16592,456
14513,561
109261,6180
21709,569
171627,569
110349,858
110349,10
47,65
21875,11
20727,4
100668,314
100668,163
99255,7
97938,1
129201,28
108489,91
185660,6145
153518,803
113717,858
20668,95
4181,2
4181,929
103139,51
100723,4
21127,314
108759,561
182255,11
99629,7
177709,73
147105,7348
20770,1
21175,18
127911,95
21366,44
155783,10
108430,456
143270,561
131646,4
20910,7
877,11
227,6
227,10
166873,6309
166873,6127
101004,30
181444,6222
20792,43
116674,1
154965,11
154965,6127
108928,37
108928,553
21421,803
100977,287
129898,300
129898,6738
1210,3
578,21
162804,95
131518,73
849,2
103047,2
176301,7368
176301,28
21700,839
142770,291
105156,314
112124,7
112124,6127
21711,6071
103223,4
20993,858
20631,107
20631,7845
20994,561
15451,120
114308,561
114308,6127
98291,418
20457,290
20457,6077
21196,858
10408,112
131586,561
21403,561
12355,11
12355,555
457,8
11843,14
161964,852
178788,43
163134,314
131942,287
21595,37
11887,300
11887,392
4654,7
2251,112
2251,765
114963,4419
105228,569
20966,839
163270,6222
98034,7
98034,6127
356,37
154768,6222
114232,4399
146066,456
146066,101
2890,21
21685,561
11597,44
111762,73
512,21
512,101
20626,561
20626,397
151970,6052
777,11
777,41
777,549
777,894
113596,4
156822,4418
100112,300
18507,2
18507,929
33,28
18671,2
21428,561
16894,10
163139,4
21701,456
2966,75
97994,561
21058,4
106479,300
166610,561
128546,858
21861,561
20657,561
136804,6289
13125,561
934,37
133844,11
20745,120
166531,95
2025,4
124194,73
109963,7
43,10
245,1
97766,6103
151806,6075
108553,4
2236,11
97922,569
105190,852
126403,6391
14467,309
174576,60
174576,6116
249,2
249,14
100773,7
20987,95
21385,561
17074,44
125206,6052
125206,6417
143338,4399
21093,456
21093,7813
166613,569
99468,247
6,11
14713,73
131565,11
131565,569
18115,561
107693,6116
100183,6069
100183,6127
142984,28
7791,2
7791,929
21858,803
9260,44
99426,11
98444,6074
107717,2
162314,569
162314,10
141014,6314
10719,436
20876,44
20602,2
14345,11
116566,1
114888,6222
141949,6638
100643,290
163132,6222
131083,911
20725,10
107201,112
20678,4420
98707,6077
125426,7
153152,247
98202,91
392,1
167152,6312
130592,6069
20946,11
790,32
790,765
114124,10
21131,561
98491,196
1195,7
114745,290
1943,11
103871,569
14289,218
128705,35
6213,7
16742,300
20722,290
103632,6073
103632,6639
20811,10
20811,858
178754,10
112609,6052
108241,6103
20912,2
153800,7
15689,44
115113,6292
128547,28
128547,6711
100077,91
114043,7
111322,290
111322,7371
7785,11
153845,6073
153845,73
19163,292
19163,4420
101001,456
113425,120
7311,2
7311,929
21400,44
104647,300
97863,951
527,28
151384,561
8769,436
8769,755
99457,132
170942,94
170942,73
17729,4418
20791,43
109190,2
1887,2
2759,6
2759,47
270,3
21290,4399
178789,6309
178789,6127
97832,911
97832,894
263,11
21399,44
16870,1
142853,839
147103,290
112443,4399
99749,561
99749,397
99749,6222
114121,6140
3455,27
163146,4418
101168,6216
114194,6077
159322,1
11633,112
11577,314
177689,6182
104464,957
100298,73
20513,103
20513,10
112608,6217
116752,37
116752,553
97888,73
126546,73
126546,318
99699,6142
117612,7
166794,30
21306,2
16067,132
162670,73
101573,6068
97767,911
130588,300
99420,314
124410,73
20773,32
97907,300
125428,6117
99726,6101
2034,18
97980,6068
132126,11
8525,32
6594,314
136,22
3784,6
3784,47
11499,37
20955,911
21123,346
9041,4418
9041,765
513,21
135806,6960
11759,14
98035,561
141911,132
112323,163
112323,6638
14749,561
126192,200
18397,858
18397,10
