anime_id,data_coleta,score,scored_by,rank,popularity,members,favorites
16498,2026-08-16,8.5,597876,66.0,1.0,1042783,86458
101922,2026-08-16,8.3,529221,158.0,2.0,984526,60745
113415,2026-08-16,8.4,498802,98.0,3.0,960980,70184
1535,2026-08-16,8.4,499052,104.0,4.0,950893,66472
21459,2026-08-16,7.7,468316,,5.0,866088,34784
11061,2026-08-16,8.9,390228,7.0,6.0,832332,97629
21087,2026-08-16,8.3,418304,151.0,7.0,760900,33296
21,2026-08-16,8.7,288567,29.0,8.0,741287,109197
20605,2026-08-16,7.6,372231,,9.0,733250,27489
20958,2026-08-16,8.5,423918,74.0,10.0,726972,22087
5114,2026-08-16,9.0,331074,3.0,11.0,721164,72396
20,2026-08-16,8.0,387884,303.0,12.0,717831,43050
11757,2026-08-16,7.0,388970,,13.0,712469,26848
20954,2026-08-16,8.8,391028,3.0,1.0,708422,60220
21519,2026-08-16,8.6,404934,15.0,2.0,706960,46393
99147,2026-08-16,8.6,389650,54.0,14.0,680069,22104
21856,2026-08-16,7.9,364305,359.0,15.0,650391,13513
110277,2026-08-16,8.7,330852,35.0,16.0,636568,30876
101759,2026-08-16,8.3,330144,120.0,17.0,628558,26982
127230,2026-08-16,8.3,275923,128.0,18.0,623435,35983
20755,2026-08-16,7.9,272589,374.0,19.0,623169,22852
21507,2026-08-16,8.4,300797,100.0,20.0,620068,37818
21355,2026-08-16,8.1,311786,240.0,21.0,614214,36707
20665,2026-08-16,8.4,274572,107.0,22.0,607891,36672
104578,2026-08-16,9.0,330403,5.0,23.0,605290,32079
1735,2026-08-16,8.2,310589,166.0,24.0,603700,48266
21234,2026-08-16,8.1,307616,231.0,25.0,600315,27584
100166,2026-08-16,7.9,327333,388.0,26.0,596172,12561
9253,2026-08-16,8.9,237830,8.0,27.0,588807,56199
20464,2026-08-16,8.4,288358,118.0,28.0,578395,40173
97940,2026-08-16,7.9,216921,400.0,29.0,576597,32816
101291,2026-08-16,8.1,286383,274.0,30.0,573715,33266
140960,2026-08-16,8.3,271175,141.0,31.0,563798,26667
101921,2026-08-16,8.3,272734,139.0,32.0,553338,30257
105333,2026-08-16,8.1,240856,227.0,33.0,549702,25961
21827,2026-08-16,8.5,226902,63.0,34.0,542502,39184
101348,2026-08-16,8.7,233875,28.0,35.0,539096,38646
4224,2026-08-16,7.8,270910,,36.0,537409,22237
19815,2026-08-16,7.7,278175,,37.0,537399,20222
20447,2026-08-16,7.8,235383,,38.0,535364,18605
20613,2026-08-16,7.3,262490,,39.0,534748,16791
124080,2026-08-16,8.1,235344,245.0,40.0,534172,33634
104276,2026-08-16,7.9,255394,424.0,41.0,528168,12175
20789,2026-08-16,7.3,266125,,42.0,525092,12011
21202,2026-08-16,7.9,260574,402.0,43.0,513394,23888
269,2026-08-16,7.9,196295,397.0,44.0,511611,32750
112151,2026-08-16,8.4,255354,32.0,3.0,503836,15106
20623,2026-08-16,8.1,226004,224.0,45.0,496772,19525
99423,2026-08-16,7.0,245445,,46.0,495549,20659
1575,2026-08-16,8.5,242541,72.0,47.0,494551,34143
30,2026-08-16,8.3,233811,134.0,48.0,489184,44356
145064,2026-08-16,8.6,215978,42.0,49.0,483896,22850
105310,2026-08-16,7.6,192091,,50.0,479009,13917
142329,2026-08-16,8.6,243343,57.0,51.0,478549,17239
199,2026-08-16,8.6,265906,13.0,4.0,476056,23785
14719,2026-08-16,7.7,235535,,52.0,473450,19548
154587,2026-08-16,9.1,207411,1.0,53.0,470789,55435
20931,2026-08-16,8.0,206817,330.0,54.0,463960,16151
97668,2026-08-16,7.4,224607,,55.0,463692,8762
1,2026-08-16,8.6,170305,55.0,56.0,463225,33498
9919,2026-08-16,7.3,206019,,57.0,458179,9196
101280,2026-08-16,8.0,209221,319.0,58.0,456669,23322
99263,2026-08-16,7.6,223945,,59.0,456533,18096
98314,2026-08-16,7.0,230720,,60.0,453080,10006
108465,2026-08-16,8.2,217982,208.0,61.0,450707,26368
20594,2026-08-16,6.6,243048,,62.0,448433,7246
